x,y,z
15,17.38298,a
10,15.16614,a
1,2.237257,c
14,17.21614,b
17,15.17969,c
14,18.55308,b
1,9.112552,c
14,12.28358,c
4,7.389606,b
17,10.32935,a
4,7.493581,b
3,5.122029,c
8,10.7626,c
15,15.43384,b
6,12.8548,a
15,10.94057,b
14,8.509398,c
8,3.389534,a
6,3.174824,b
4,9.010125,b
10,12.84207,c
17,13.47136,a
13,19.20629,b
8,3.003857,c
2,19.98814,b
12,1.694874,c
0,0.4628393,b
17,4.534296,a
9,17.58079,a
3,18.51711,b
16,19.18603,c
0,9.953509,b
15,14.67022,c
16,4.725659,a
18,10.71858,a
2,10.59625,c
13,9.877146,a
7,9.313892,b
18,2.256162,a
16,2.119368,a
17,3.782571,a
18,10.84225,c
17,19.2914,c
9,9.211093,c
14,5.51815,b
3,15.82388,b
0,8.347863,a
5,17.94295,b
6,12.45396,c
13,19.03309,c
10,14.22969,a
7,18.57677,a
1,8.576093,b
2,18.46458,a
8,13.59508,b
16,2.887789,c
13,18.36448,a
16,9.875809,c
6,8.567654,b
16,17.65905,a
13,0.2776431,c
19,5.339175,a
0,19.50714,a
3,11.2294,a
17,5.074914,b
16,15.43522,a
16,6.056668,b
4,12.14172,c
6,19.51547,c
7,10.96388,c
4,9.70189,a
13,13.62851,b
8,7.687414,b
9,2.3625,c
4,18.63509,b
9,16.75221,a
0,15.72356,b
17,2.893005,a
6,11.35972,a
8,13.13541,c
7,8.122414,c
15,18.99636,b
0,17.94073,a
4,19.48644,c
10,2.441262,b
11,16.05818,b
2,11.22174,c
1,1.078186,c
18,5.789834,a
16,3.536951,a
17,10.86777,b
15,6.844572,c
15,19.80108,b
6,7.968572,c
19,16.60651,b
12,8.171808,b
9,8.64562,a
0,13.61899,c
9,17.34808,c
8,6.724679,a
2,9.613671,a
10,10.72661,a
5,6.686673,a
0,15.6231,c
17,5.422488,c
12,8.161052,b
6,7.465016,b
7,14.66865,c
7,6.911637,c
4,3.994914,b
11,5.847802,b
8,8.770181,a
16,6.663712,c
15,8.366256,a
10,9.698301,c
11,16.77837,b
17,0.9379567,c
16,19.18433,b
13,3.626874,a
3,6.626348,c
14,9.05556,b
13,15.81352,c
13,6.754082,b
16,11.82423,b
19,6.583576,b
16,14.19362,c
9,0.2730666,a
12,14.15366,c
19,18.76531,c
6,0.836047,b
18,12.10284,c
6,3.750961,b
1,14.42326,b
1,14.0539,a
4,17.51931,a
13,16.19646,a
14,10.49302,c
10,19.6368,c
4,9.005215,a
18,1.615569,b
18,0.9361168,a
2,2.938606,a
15,15.32467,b
1,9.46982,b
17,10.45307,a
6,17.89431,a
13,19.79669,c
6,4.971091,b
17,4.373434,c
14,14.4872,c
17,12.35175,a
2,17.59895,c
16,19.84965,c
2,7.880245,a
12,4.841595,a
4,2.782755,a
8,12.40334,c
4,17.66181,c
1,3.97951,a
4,7.809939,c
1,1.019061,a
7,15.14887,c
5,9.930031,a
7,3.675495,b
15,15.25089,c
17,10.91295,a
7,3.195126,a
14,17.86922,c
6,19.29277,a
3,18.30293,c
2,11.43922,c
14,6.441835,c
19,7.826363,c
13,11.63829,a
8,16.42395,b
18,3.579801,b
7,7.634667,c
0,4.900811,c
18,11.36056,b
16,8.114296,c
1,13.3799,a
9,3.208459,c
5,15.67059,b
15,3.459456,a
16,10.80241,b
5,12.44372,a
1,11.41558,b
10,3.137204,c
10,14.56426,a
0,6.011452,c
9,1.9077,a
1,7.444955,a
16,6.526257,a
0,10.69891,a
14,9.561043,b
16,1.174849,c
3,9.978928,b
15,0.9195061,c
6,18.42615,a
3,7.73842,b
2,9.169996,a
19,7.207088,b
13,1.911241,b
3,12.22178,c
5,4.35438,c
18,19.09035,b
3,10.68476,c
3,6.392457,c
2,19.70954,c
15,3.100412,a
3,5.39783,c
7,7.2518,a
15,6.961566,a
10,18.78406,a
10,4.983704,a
17,6.365957,b
19,14.95583,a
8,2.694612,b
0,17.59843,a
2,11.83787,a
2,0.3930557,b
0,6.667824,a
6,1.589295,a
19,9.361793,b
11,8.861689,b
9,1.976642,b
7,18.79439,a
8,5.761188,c
1,13.01842,c
18,12.65975,c
19,0.3521848,a
6,6.619766,b
8,19.00357,b
15,16.58015,a
10,12.85878,b
3,18.25386,b
5,11.40103,b
0,4.876689,c
3,2.203736,c
16,10.38671,c
4,5.592293,c
8,18.02357,a
15,9.35905,b
5,16.59363,a
8,15.11022,c
7,17.17813,b
0,3.46795,c
0,7.550343,c
11,19.71135,a
8,11.44571,a
5,4.15921,b
5,18.14494,a
12,18.80399,a
14,4.625124,a
0,9.97618,c
6,1.327789,c
16,2.516566,a
17,12.47942,b
17,6.740625,b
4,13.53348,c
12,17.30145,c
12,0.5238536,c
14,9.746633,c
4,14.9174,a
11,3.064061,b
1,0.1313562,b
3,13.00731,a
10,3.330201,a
5,16.99584,a
8,10.16082,b
1,13.94197,c
12,5.886915,a
3,18.48314,c
10,0.282716,a
19,17.5987,c
5,1.759434,a
8,10.90808,c
10,15.072,a
11,12.43331,a
16,10.23465,a
6,1.622977,a
3,3.680634,a
18,2.359845,c
3,14.8362,b
18,17.87362,a
12,15.09004,b
15,13.28552,b
2,9.710283,c
12,19.55292,a
10,17.28375,c
7,9.560975,c
13,4.889261,a
15,15.01183,b
8,6.475569,a
1,2.148266,b
9,17.95687,c
10,7.930741,a
8,16.59281,a
3,0.4585809,c
12,14.98956,b
2,0.3870857,c
14,14.08688,b
18,8.062264,b
18,16.97052,b
6,16.42049,c
17,11.20317,a
7,13.07815,b
3,7.010133,b
16,15.91582,b
0,5.084606,b
0,19.10424,b
14,18.78855,c
18,1.06385,a
18,19.80252,c
11,9.83609,a
0,11.43098,b
10,17.05037,b
2,14.21613,c
17,1.048386,b
0,1.838847,c
4,14.90337,c
2,19.62927,b
0,0.7240879,a
1,12.08018,a
0,8.816753,a
0,5.049782,a
12,8.946763,c
18,7.234648,a
19,17.16913,b
9,0.5638966,c
13,7.619553,c
3,19.09713,b
16,0.7312147,c
6,2.549061,a
11,8.039671,b
19,15.59063,a
0,10.2893,b
2,2.889988,c
14,15.47366,a
0,6.361513,b
11,2.924719,b
3,19.41107,a
8,7.305681,a
11,11.78823,a
7,15.6138,b
5,9.838936,c
5,1.888776,a
14,10.11742,c
19,3.370234,b
0,13.31317,a
14,9.764814,c
2,19.0545,c
6,2.455711,b
3,6.070501,c
7,12.51167,c
9,4.641979,c
16,6.939051,b
1,2.440509,b
0,6.415904,c
15,3.776282,c
8,7.62503,b
0,3.986113,c
9,19.07076,a
16,8.426062,a
4,7.977823,a
8,8.651326,b
8,7.868311,c
12,18.52466,b
12,15.75815,c
8,10.04557,b
9,19.9137,a
5,12.84829,a
8,16.54487,b
7,11.95165,c
13,8.000883,a
16,8.075401,b
17,18.66546,a
14,16.89726,a
0,14.71124,b
11,0.4366214,a
7,1.620931,b
5,19.17935,c
16,12.21734,c
0,4.864746,b
14,2.664607,a
1,6.265846,c
15,13.13747,c
10,12.94106,b
12,2.463661,c
6,15.95502,a
5,17.90344,a
13,1.361589,a
18,19.29559,b
5,10.52968,b
8,15.23001,a
13,16.31864,b
17,2.018949,b
10,19.92304,a
1,6.781797,c
14,0.8081467,c
9,18.67678,c
9,1.515465,b
15,5.881482,a
0,8.396313,a
17,6.179345,a
18,3.552299,c
13,6.471665,c
1,9.017398,c
2,5.470649,a
5,6.997914,a
3,0.3424527,b
8,2.400511,a
9,13.46503,b
4,7.67539,a
16,10.98864,a
7,16.86839,b
8,9.868534,a
2,16.95493,b
4,2.055323,b
19,2.844986,b
18,12.36851,b
7,11.54393,a
7,12.83498,b
13,15.41375,c
14,9.409084,a
2,5.376622,b
14,12.3493,b
2,2.20366,c
1,3.320098,b
3,18.59378,a
18,14.21641,b
0,13.20122,a
18,15.37333,c
12,0.3859452,b
9,9.175382,a
19,14.85414,c
4,7.35899,a
18,12.2931,c
1,7.42583,a
9,1.615981,a
12,2.609219,c
2,11.10116,c
8,17.08445,c
12,17.61891,a
2,15.85216,b
9,4.404139,c
1,0.1115591,b
2,0.4304296,a
17,7.744212,b
1,13.37761,b
8,12.74339,a
17,11.83478,b
14,4.833933,c
4,2.96257,b
16,17.52274,b
3,14.04225,a
3,10.55014,a
17,8.163482,c
0,0.6139349,c
0,12.79452,c
9,0.01830217,a
6,12.85825,c
12,6.347301,c
13,11.193,b
19,15.08826,a
0,1.824602,a
1,12.5674,a
18,15.57876,a
1,12.84344,b
11,13.58694,b
1,15.10163,c
10,19.5847,c
15,13.65759,b
13,16.33874,b
14,5.746979,c
9,1.377081,c
18,7.822105,a
15,10.83273,a
2,11.82698,a
5,10.42292,c
3,2.301929,b
17,15.05144,a
15,11.68174,c
19,2.549818,a
6,8.063028,b
14,13.02672,b
3,18.57302,b
14,12.51309,b
17,16.82312,c
5,9.704031,b
3,15.90776,a
3,13.27136,a
10,11.19722,c
0,16.94276,c
13,2.805022,b
18,2.819136,a
17,13.81785,b
3,9.953917,c
8,2.924164,c
4,18.87351,c
4,8.345026,c
14,6.842953,c
13,10.68599,a
0,4.611766,b
17,8.986814,a
2,4.935107,a
12,6.994137,c
19,4.656035,c
6,2.800485,a
14,6.657219,c
16,8.075812,a
14,9.189377,b
8,18.16613,b
17,0.102485,c
5,9.732247,a
17,4.423805,b
11,18.70991,b
13,2.015517,a
10,17.16943,c
17,8.901821,c
16,15.61067,b
12,15.39061,b
15,13.53971,b
6,7.82189,a
19,6.411589,a
3,8.863327,c
12,8.005051,c
1,12.99984,c
3,5.720705,c
14,9.237787,b
2,10.68238,b
10,1.860067,c
6,10.08102,a
0,0.7907125,b
4,17.46129,a
2,5.126544,c
